# 1:iteration 2:time bin[s] 3-k:AB magnitude for k-th angular bin
# g-band (filter: g_LSST.dat)
  10    0.1552322 -1.70953e+01 -1.70935e+01 -1.70898e+01 -1.70944e+01 -1.70955e+01 -1.70978e+01 -1.70945e+01 -1.70883e+01 -1.70979e+01 -1.70909e+01 -1.70923e+01 -1.70935e+01 -1.70902e+01 -1.70856e+01 -1.70904e+01 -1.70862e+01 -1.70862e+01 -1.70871e+01 -1.70908e+01 -1.70885e+01 -1.70997e+01 -1.70899e+01 -1.70934e+01 -1.70863e+01 -1.70828e+01 -1.70873e+01 -1.70894e+01 -1.70926e+01 -1.70914e+01 -1.70906e+01 -1.70867e+01 -1.70886e+01 -1.70848e+01 -1.70945e+01 -1.70928e+01 -1.70906e+01 -1.70885e+01 -1.70876e+01 -1.70857e+01 -1.70908e+01 -1.70958e+01 -1.70907e+01 -1.70902e+01 -1.70893e+01 -1.70950e+01 -1.70881e+01 -1.70872e+01 -1.71000e+01 -1.70900e+01 -1.70908e+01 -1.70970e+01 -1.70874e+01 -1.70957e+01 -1.70874e+01 
  11    0.1586314 -1.71137e+01 -1.71121e+01 -1.71124e+01 -1.71171e+01 -1.71123e+01 -1.71149e+01 -1.71134e+01 -1.71112e+01 -1.71156e+01 -1.71133e+01 -1.71140e+01 -1.71141e+01 -1.71108e+01 -1.71048e+01 -1.71085e+01 -1.71047e+01 -1.71065e+01 -1.71061e+01 -1.71104e+01 -1.71078e+01 -1.71210e+01 -1.71037e+01 -1.71126e+01 -1.71056e+01 -1.71048e+01 -1.71061e+01 -1.71107e+01 -1.71075e+01 -1.71089e+01 -1.71105e+01 -1.71073e+01 -1.71071e+01 -1.71089e+01 -1.71101e+01 -1.71097e+01 -1.71086e+01 -1.71113e+01 -1.71084e+01 -1.71030e+01 -1.71082e+01 -1.71142e+01 -1.71112e+01 -1.71087e+01 -1.71097e+01 -1.71115e+01 -1.71064e+01 -1.71079e+01 -1.71170e+01 -1.71099e+01 -1.71099e+01 -1.71112e+01 -1.71038e+01 -1.71132e+01 -1.71074e+01 
  12    0.1621049 -1.71280e+01 -1.71294e+01 -1.71288e+01 -1.71365e+01 -1.71293e+01 -1.71314e+01 -1.71314e+01 -1.71310e+01 -1.71326e+01 -1.71322e+01 -1.71376e+01 -1.71294e+01 -1.71287e+01 -1.71225e+01 -1.71270e+01 -1.71250e+01 -1.71239e+01 -1.71242e+01 -1.71286e+01 -1.71259e+01 -1.71356e+01 -1.71230e+01 -1.71285e+01 -1.71256e+01 -1.71240e+01 -1.71263e+01 -1.71288e+01 -1.71317e+01 -1.71272e+01 -1.71305e+01 -1.71251e+01 -1.71257e+01 -1.71284e+01 -1.71296e+01 -1.71275e+01 -1.71257e+01 -1.71299e+01 -1.71290e+01 -1.71221e+01 -1.71287e+01 -1.71302e+01 -1.71319e+01 -1.71255e+01 -1.71293e+01 -1.71267e+01 -1.71225e+01 -1.71259e+01 -1.71369e+01 -1.71267e+01 -1.71307e+01 -1.71287e+01 -1.71231e+01 -1.71320e+01 -1.71253e+01 
  13    0.1656546 -1.71462e+01 -1.71419e+01 -1.71461e+01 -1.71522e+01 -1.71468e+01 -1.71495e+01 -1.71495e+01 -1.71466e+01 -1.71506e+01 -1.71494e+01 -1.71531e+01 -1.71443e+01 -1.71457e+01 -1.71424e+01 -1.71434e+01 -1.71438e+01 -1.71418e+01 -1.71429e+01 -1.71481e+01 -1.71425e+01 -1.71506e+01 -1.71424e+01 -1.71457e+01 -1.71419e+01 -1.71429e+01 -1.71417e+01 -1.71467e+01 -1.71486e+01 -1.71413e+01 -1.71465e+01 -1.71405e+01 -1.71403e+01 -1.71489e+01 -1.71482e+01 -1.71406e+01 -1.71452e+01 -1.71451e+01 -1.71457e+01 -1.71383e+01 -1.71415e+01 -1.71449e+01 -1.71490e+01 -1.71406e+01 -1.71456e+01 -1.71417e+01 -1.71391e+01 -1.71479e+01 -1.71554e+01 -1.71465e+01 -1.71475e+01 -1.71466e+01 -1.71404e+01 -1.71505e+01 -1.71436e+01 
  14    0.1692819 -1.71603e+01 -1.71618e+01 -1.71634e+01 -1.71660e+01 -1.71629e+01 -1.71636e+01 -1.71669e+01 -1.71659e+01 -1.71666e+01 -1.71614e+01 -1.71694e+01 -1.71610e+01 -1.71651e+01 -1.71589e+01 -1.71614e+01 -1.71602e+01 -1.71564e+01 -1.71619e+01 -1.71638e+01 -1.71595e+01 -1.71677e+01 -1.71609e+01 -1.71630e+01 -1.71604e+01 -1.71627e+01 -1.71557e+01 -1.71639e+01 -1.71675e+01 -1.71575e+01 -1.71599e+01 -1.71558e+01 -1.71569e+01 -1.71646e+01 -1.71659e+01 -1.71599e+01 -1.71635e+01 -1.71596e+01 -1.71611e+01 -1.71558e+01 -1.71565e+01 -1.71628e+01 -1.71654e+01 -1.71598e+01 -1.71587e+01 -1.71556e+01 -1.71534e+01 -1.71652e+01 -1.71721e+01 -1.71610e+01 -1.71656e+01 -1.71616e+01 -1.71577e+01 -1.71643e+01 -1.71591e+01 
  15    0.1729887 -1.71779e+01 -1.71801e+01 -1.71752e+01 -1.71791e+01 -1.71765e+01 -1.71781e+01 -1.71827e+01 -1.71819e+01 -1.71850e+01 -1.71774e+01 -1.71853e+01 -1.71740e+01 -1.71784e+01 -1.71738e+01 -1.71792e+01 -1.71761e+01 -1.71755e+01 -1.71779e+01 -1.71813e+01 -1.71759e+01 -1.71809e+01 -1.71762e+01 -1.71738e+01 -1.71735e+01 -1.71755e+01 -1.71715e+01 -1.71777e+01 -1.71856e+01 -1.71725e+01 -1.71771e+01 -1.71719e+01 -1.71738e+01 -1.71747e+01 -1.71788e+01 -1.71748e+01 -1.71776e+01 -1.71722e+01 -1.71753e+01 -1.71738e+01 -1.71724e+01 -1.71805e+01 -1.71789e+01 -1.71739e+01 -1.71717e+01 -1.71719e+01 -1.71700e+01 -1.71814e+01 -1.71846e+01 -1.71754e+01 -1.71767e+01 -1.71751e+01 -1.71738e+01 -1.71812e+01 -1.71732e+01 
  16    0.1767767 -1.71901e+01 -1.71951e+01 -1.71886e+01 -1.71923e+01 -1.71925e+01 -1.71912e+01 -1.71982e+01 -1.71937e+01 -1.71980e+01 -1.71948e+01 -1.71953e+01 -1.71895e+01 -1.71934e+01 -1.71864e+01 -1.71908e+01 -1.71898e+01 -1.71923e+01 -1.71901e+01 -1.71950e+01 -1.71844e+01 -1.71912e+01 -1.71902e+01 -1.71880e+01 -1.71878e+01 -1.71879e+01 -1.71856e+01 -1.71884e+01 -1.71993e+01 -1.71864e+01 -1.71902e+01 -1.71852e+01 -1.71882e+01 -1.71860e+01 -1.71948e+01 -1.71876e+01 -1.71913e+01 -1.71883e+01 -1.71891e+01 -1.71893e+01 -1.71846e+01 -1.71940e+01 -1.71922e+01 -1.71895e+01 -1.71870e+01 -1.71856e+01 -1.71855e+01 -1.71934e+01 -1.71962e+01 -1.71912e+01 -1.71896e+01 -1.71902e+01 -1.71880e+01 -1.71929e+01 -1.71877e+01 
  17    0.1806476 -1.72031e+01 -1.72081e+01 -1.72027e+01 -1.72038e+01 -1.72060e+01 -1.72026e+01 -1.72089e+01 -1.72078e+01 -1.72076e+01 -1.72083e+01 -1.72043e+01 -1.72009e+01 -1.72062e+01 -1.71988e+01 -1.72023e+01 -1.71988e+01 -1.72075e+01 -1.72028e+01 -1.72071e+01 -1.71997e+01 -1.72015e+01 -1.72037e+01 -1.72002e+01 -1.71994e+01 -1.72002e+01 -1.71996e+01 -1.71985e+01 -1.72097e+01 -1.71990e+01 -1.72042e+01 -1.71996e+01 -1.71992e+01 -1.71974e+01 -1.72067e+01 -1.72005e+01 -1.72010e+01 -1.72029e+01 -1.71999e+01 -1.72022e+01 -1.71964e+01 -1.72056e+01 -1.72064e+01 -1.72019e+01 -1.72006e+01 -1.71982e+01 -1.72021e+01 -1.72090e+01 -1.72065e+01 -1.72024e+01 -1.71990e+01 -1.72006e+01 -1.72015e+01 -1.72068e+01 -1.71994e+01 
  18    0.1846033 -1.72134e+01 -1.72171e+01 -1.72135e+01 -1.72132e+01 -1.72181e+01 -1.72118e+01 -1.72201e+01 -1.72197e+01 -1.72144e+01 -1.72170e+01 -1.72153e+01 -1.72106e+01 -1.72154e+01 -1.72113e+01 -1.72112e+01 -1.72108e+01 -1.72175e+01 -1.72136e+01 -1.72160e+01 -1.72113e+01 -1.72111e+01 -1.72158e+01 -1.72096e+01 -1.72116e+01 -1.72096e+01 -1.72097e+01 -1.72076e+01 -1.72128e+01 -1.72089e+01 -1.72151e+01 -1.72096e+01 -1.72120e+01 -1.72080e+01 -1.72176e+01 -1.72107e+01 -1.72106e+01 -1.72125e+01 -1.72087e+01 -1.72146e+01 -1.72074e+01 -1.72183e+01 -1.72152e+01 -1.72130e+01 -1.72157e+01 -1.72104e+01 -1.72120e+01 -1.72182e+01 -1.72165e+01 -1.72123e+01 -1.72100e+01 -1.72115e+01 -1.72148e+01 -1.72187e+01 -1.72105e+01 
  19    0.1886456 -1.72237e+01 -1.72267e+01 -1.72228e+01 -1.72216e+01 -1.72277e+01 -1.72224e+01 -1.72274e+01 -1.72270e+01 -1.72230e+01 -1.72242e+01 -1.72236e+01 -1.72193e+01 -1.72249e+01 -1.72195e+01 -1.72231e+01 -1.72165e+01 -1.72259e+01 -1.72225e+01 -1.72233e+01 -1.72225e+01 -1.72160e+01 -1.72240e+01 -1.72170e+01 -1.72217e+01 -1.72172e+01 -1.72156e+01 -1.72166e+01 -1.72198e+01 -1.72194e+01 -1.72203e+01 -1.72186e+01 -1.72210e+01 -1.72139e+01 -1.72264e+01 -1.72201e+01 -1.72201e+01 -1.72180e+01 -1.72203e+01 -1.72249e+01 -1.72195e+01 -1.72273e+01 -1.72230e+01 -1.72222e+01 -1.72247e+01 -1.72207e+01 -1.72204e+01 -1.72285e+01 -1.72243e+01 -1.72240e+01 -1.72223e+01 -1.72239e+01 -1.72242e+01 -1.72305e+01 -1.72179e+01 
